iter	Passed	Remaining
205	389	1502
206	391	1499
207	392	1494
208	393	1489
209	394	1484
210	395	1480
211	397	1475
212	398	1471
213	399	1467
214	402	1468
215	403	1465
216	404	1460
217	407	1460
218	409	1458
219	410	1454
220	411	1451
221	412	1447
222	414	1444
223	415	1440
224	417	1439
225	419	1436
226	420	1432
227	421	1427
228	422	1424
229	424	1420
230	425	1416
231	426	1412
232	428	1409
233	429	1406
234	430	1402
235	432	1398
236	433	1396
237	435	1393
238	436	1389
239	437	1385
240	440	1385
241	441	1382
242	442	1378
243	443	1375
244	445	1371
245	446	1368
246	447	1364
247	448	1361
248	450	1359
249	452	1356
250	453	1353
251	454	1349
252	456	1346
253	457	1344
254	458	1340
255	460	1338
256	461	1335
257	463	1331
258	464	1328
259	465	1325
260	467	1322
261	468	1319
262	469	1316
263	471	1314
264	472	1310
265	473	1307
266	474	1303
267	476	1301
268	477	1298
269	479	1295
270	480	1293
271	482	1290
272	483	1287
273	484	1284
274	485	1281
275	487	1277
276	488	1274
277	489	1272
278	491	1269
279	492	1265
280	493	1262
281	494	1259
282	496	1256
283	497	1254
284	499	1253
285	501	1250
286	502	1248
287	503	1245
288	505	1243
289	506	1240
290	508	1238
291	509	1236
292	511	1234
293	513	1232
294	514	1230
295	516	1227
296	517	1225
297	519	1223
298	520	1221
299	522	1219
300	523	1216
301	525	1213
302	526	1212
303	528	1210
304	529	1207
305	531	1204
306	532	1203
307	534	1200
308	535	1198
309	537	1196
310	538	1193
311	540	1190
312	541	1188
313	542	1185
314	544	1183
315	545	1180
316	546	1178
317	548	1175
318	549	1173
319	550	1170
320	551	1167
321	553	1165
322	554	1162
323	555	1159
324	557	1157
325	558	1154
326	559	1152
327	560	1149
328	562	1146
329	563	1143
330	564	1141
331	565	1138
332	567	1136
333	568	1134
334	570	1131
335	571	1128
336	572	1126
337	573	1123
338	574	1120
339	575	1117
340	576	1114
341	577	1111
342	578	1108
343	580	1106
344	581	1103
345	582	1100
346	583	1097
347	584	1095
348	585	1092
349	586	1089
350	587	1086
351	588	1083
352	589	1081
353	590	1078
354	591	1075
355	593	1072
356	594	1069
357	595	1067
358	596	1064
359	597	1062
360	598	1059
361	599	1057
362	601	1055
363	602	1052
364	603	1050
365	604	1047
366	605	1044
367	606	1042
368	608	1039
369	609	1037
370	610	1034
371	611	1031
372	612	1029
373	613	1026
374	614	1024
375	615	1021
376	616	1018
377	617	1016
378	618	1013
379	619	1011
380	620	1008
381	621	1006
382	623	1003
383	624	1001
384	625	998
385	626	996
386	627	993
387	628	991
388	629	989
389	630	986
390	631	984
391	633	981
392	634	979
393	635	977
394	636	974
395	637	972
396	638	969
397	639	967
398	640	964
399	642	963
400	643	960
401	644	958
402	645	956
403	646	954
404	647	951
405	649	949
406	650	947
407	651	945
408	652	943
409	654	941
410	655	939
411	657	937
412	658	935
413	659	933
414	660	931
415	661	929
416	663	927
417	664	925
418	665	923
419	666	921
420	668	918
421	669	916
422	670	914
423	671	912
424	672	910
425	673	907
426	674	905
427	676	903
428	677	901
429	678	899
430	679	896
431	680	894
432	681	892
433	682	890
434	683	888
435	684	885
436	685	883
437	686	881
438	687	879
439	688	876
440	689	874
441	691	872
442	692	870
443	693	868
444	694	866
445	695	864
446	696	861
447	698	860
448	699	857
449	700	855
450	701	853
451	702	851
452	703	849
453	704	847
454	705	845
455	706	843
456	707	841
457	709	839
458	710	837
459	711	834
460	712	832
461	713	830
462	714	828
463	715	826
464	716	824
465	717	822
466	720	822
467	721	820
468	722	818
469	723	816
470	725	814
471	726	812
472	727	811
473	729	808
474	730	806
475	731	804
476	732	802
477	733	801
478	734	799
479	735	797
480	736	795
481	738	793
482	739	791
483	740	788
484	741	787
485	742	785
486	743	783
487	744	781
488	745	778
489	746	777
490	747	775
491	748	773
492	750	771
493	751	769
494	753	768
495	754	766
496	755	764
497	756	762
498	758	761
499	759	759
500	760	757
501	761	755
502	763	754
503	764	752
504	765	750
505	766	748
506	768	746
507	769	744
508	770	742
509	771	740
510	772	738
511	773	737
512	774	735
513	775	733
514	776	731
515	777	729
516	779	728
517	780	726
518	781	724
519	782	722
520	783	720
521	784	718
522	785	716
523	786	714
524	788	713
525	789	711
526	790	709
527	791	707
528	792	705
529	793	703
530	795	702
531	796	700
532	797	698
533	798	697
534	800	695
535	802	694
536	803	692
537	804	691
538	806	689
539	807	687
540	808	686
541	810	684
542	811	682
543	812	681
544	813	679
545	816	678
546	818	677
547	819	675
548	820	674
549	822	672
550	823	671
551	824	669
552	826	668
553	828	666
554	829	664
555	830	663
556	832	662
557	834	660
558	835	659
559	836	657
560	838	655
561	839	654
562	840	652
563	841	650
564	843	649
565	844	647
566	845	645
567	846	643
568	847	642
569	849	640
570	850	638
571	851	637
572	852	635
573	853	633
574	855	631
575	856	630
576	857	628
577	858	626
578	859	624
579	860	623
580	861	621
581	862	619
582	864	618
583	865	616
584	866	614
585	867	613
586	869	611
587	870	609
588	871	608
589	872	606
590	873	604
591	875	603
592	876	601
593	877	599
594	878	597
595	879	596
596	881	595
597	882	593
598	883	591
599	885	590
600	886	588
601	887	587
602	889	585
603	890	583
604	892	582
605	893	580
606	894	579
607	895	577
608	896	575
609	897	574
610	899	572
611	900	570
612	901	569
613	903	567
614	904	566
615	905	564
616	906	562
617	907	561
618	909	559
619	910	558
620	911	556
621	913	554
622	914	553
623	915	551
624	916	550
625	918	548
626	919	546
627	920	545
628	921	543
629	922	541
630	923	540
631	925	538
632	926	537
633	927	535
634	928	533
635	929	532
636	930	530
637	931	528
638	932	527
639	933	525
640	935	523
641	936	522
642	937	520
643	938	519
644	940	517
645	941	515
646	942	514
647	944	513
648	945	511
649	947	510
650	949	508
651	950	507
652	951	505
653	952	504
654	954	502
655	955	501
656	957	500
657	958	498
658	960	496
659	961	495
660	962	493
661	963	491
662	964	490
663	965	488
664	966	487
665	968	485
666	969	483
667	970	482
668	971	480
669	972	479
670	973	477
671	974	475
672	976	474
673	977	472
674	978	471
675	979	469
676	980	467
677	983	466
678	984	465
679	985	463
680	986	462
681	987	460
682	989	459
683	990	457
684	991	456
685	993	454
686	994	452
687	995	451
688	996	449
689	997	448
690	998	446
691	1000	445
692	1001	443
693	1002	442
694	1003	440
695	1004	438
696	1006	437
697	1007	435
698	1008	434
699	1009	432
700	1010	430
701	1011	429
702	1012	427
703	1013	426
704	1014	424
705	1016	423
706	1017	421
707	1018	419
708	1019	418
709	1020	416
710	1021	415
711	1022	413
712	1023	412
713	1025	410
714	1026	409
715	1027	407
716	1028	405
717	1029	404
718	1030	402
719	1031	401
720	1032	399
721	1034	398
722	1035	396
723	1036	395
724	1037	393
725	1038	392
726	1039	390
727	1040	388
728	1041	387
729	1043	385
730	1044	384
731	1045	382
732	1046	381
733	1047	379
734	1048	377
735	1049	376
736	1050	374
737	1051	373
738	1052	371
739	1053	370
740	1054	368
741	1055	367
742	1057	365
743	1058	364
744	1059	362
745	1060	360
746	1061	359
747	1062	357
748	1063	356
749	1064	354
750	1065	353
751	1066	351
752	1067	350
753	1069	348
754	1070	347
755	1071	345
756	1072	344
757	1073	342
758	1074	341
759	1075	339
760	1077	338
761	1078	336
762	1079	335
763	1080	333
764	1081	332
765	1082	330
766	1084	329
767	1085	327
768	1086	326
769	1087	324
770	1088	323
771	1089	321
772	1090	320
773	1092	318
774	1093	317
775	1094	316
776	1095	314
777	1097	313
778	1098	311
779	1100	310
780	1101	308
781	1102	307
782	1104	306
783	1106	304
784	1107	303
785	1109	301
786	1110	300
787	1111	298
788	1112	297
789	1114	296
790	1116	294
791	1117	293
792	1119	292
793	1121	290
794	1122	289
795	1123	287
796	1124	286
797	1125	284
798	1126	283
799	1128	282
800	1129	280
801	1130	279
802	1131	277
803	1132	276
804	1133	274
805	1134	273
806	1136	271
807	1137	270
808	1138	268
809	1139	267
810	1140	265
811	1141	264
812	1142	262
813	1143	261
814	1144	259
815	1146	258
816	1147	257
817	1148	255
818	1149	254
819	1150	252
820	1152	251
821	1153	249
822	1154	248
823	1155	246
824	1156	245
825	1157	243
826	1159	242
827	1160	240
828	1161	239
829	1162	238
830	1163	236
831	1164	235
832	1165	233
833	1166	232
834	1167	230
835	1169	229
836	1170	227
837	1171	226
838	1172	224
839	1174	223
840	1175	222
841	1176	220
842	1177	219
843	1178	217
844	1179	216
845	1181	214
846	1182	213
847	1183	212
848	1185	210
849	1186	209
850	1187	207
851	1188	206
852	1189	204
853	1190	203
854	1191	202
855	1192	200
856	1194	199
857	1195	197
858	1196	196
859	1197	194
860	1198	193
861	1199	192
862	1201	190
863	1202	189
864	1204	187
865	1205	186
866	1206	185
867	1208	183
868	1209	182
869	1210	180
870	1211	179
871	1213	178
872	1214	176
873	1215	175
874	1216	173
875	1218	172
876	1219	171
877	1220	169
878	1221	168
879	1223	166
880	1224	165
881	1225	163
882	1226	162
883	1227	161
884	1228	159
885	1230	158
886	1231	156
887	1233	155
888	1234	154
889	1235	152
890	1237	151
891	1238	149
892	1240	148
893	1242	147
894	1243	145
895	1245	144
896	1246	143
897	1248	141
898	1249	140
899	1251	139
900	1252	137
901	1253	136
902	1256	134
903	1258	133
904	1259	132
905	1261	130
906	1263	129
907	1264	128
908	1265	126
909	1266	125
910	1267	123
911	1269	122
912	1270	121
913	1271	119
914	1273	118
915	1274	116
916	1275	115
917	1276	114
918	1277	112
919	1278	111
920	1280	109
921	1281	108
922	1282	106
923	1283	105
924	1285	104
925	1286	102
926	1287	101
927	1288	100
928	1290	98
929	1291	97
930	1292	95
931	1293	94
932	1294	92
933	1296	91
934	1297	90
935	1298	88
936	1299	87
937	1301	85
938	1302	84
939	1303	83
940	1304	81
941	1305	80
942	1306	78
943	1307	77
944	1309	76
945	1311	74
946	1312	73
947	1313	72
948	1315	70
949	1317	69
950	1318	67
951	1319	66
952	1321	65
953	1322	63
954	1323	62
955	1324	60
956	1326	59
957	1327	58
958	1328	56
959	1330	55
960	1331	54
961	1332	52
962	1333	51
963	1334	49
964	1335	48
965	1337	47
966	1338	45
967	1339	44
968	1340	42
969	1342	41
970	1343	40
971	1345	38
972	1346	37
973	1347	35
974	1348	34
975	1350	33
976	1351	31
977	1352	30
978	1353	29
979	1355	27
980	1356	26
981	1357	24
982	1358	23
983	1360	22
984	1361	20
985	1362	19
986	1363	17
987	1364	16
988	1365	15
989	1366	13
990	1367	12
991	1369	11
992	1371	9
993	1372	8
994	1375	6
995	1376	5
996	1377	4
997	1378	2
998	1380	1
999	1381	0
